Serial number,Wavelength (nm),Absolute spectral value (W/m2/nm),Relative spectral value
1,380,0.00E+00,0
2,381,0.00E+00,0
3,382,7.28E-04,0.0008
4,383,0.00E+00,0
5,384,0.00E+00,0
6,385,0.00E+00,0
7,386,0.00E+00,0
8,387,0.00E+00,0
9,388,0.00E+00,0
10,389,0.00E+00,0
11,390,0.00E+00,0
12,391,0.00E+00,0
13,392,0.00E+00,0
14,393,0.00E+00,0
15,394,0.00E+00,0
16,395,0.00E+00,0
17,396,0.00E+00,0
18,397,5.69E-04,0.0006
19,398,7.48E-04,0.0008
20,399,0.00E+00,0
21,400,0.00E+00,0
22,401,7.90E-04,0.0008
23,402,7.06E-04,0.0007
24,403,0.00E+00,0
25,404,9.51E-05,0.0001
26,405,6.81E-04,0.0007
27,406,1.14E-03,0.0012
28,407,1.54E-03,0.0016
29,408,1.60E-03,0.0017
30,409,1.61E-03,0.0017
31,410,2.77E-03,0.0029
32,411,3.90E-03,0.0041
33,412,4.17E-03,0.0044
34,413,4.60E-03,0.0049
35,414,6.03E-03,0.0064
36,415,7.55E-03,0.008
37,416,9.42E-03,0.01
38,417,1.11E-02,0.0118
39,418,1.24E-02,0.0132
40,419,1.49E-02,0.0159
41,420,1.90E-02,0.0201
42,421,2.33E-02,0.0247
43,422,2.77E-02,0.0294
44,423,3.31E-02,0.0351
45,424,3.91E-02,0.0414
46,425,4.61E-02,0.0489
47,426,5.35E-02,0.0567
48,427,6.31E-02,0.067
49,428,7.30E-02,0.0775
50,429,8.60E-02,0.0913
51,430,9.96E-02,0.1057
52,431,1.17E-01,0.1242
53,432,1.35E-01,0.1435
54,433,1.55E-01,0.1649
55,434,1.77E-01,0.1882
56,435,2.02E-01,0.2147
57,436,2.31E-01,0.2452
58,437,2.64E-01,0.2799
59,438,3.00E-01,0.3184
60,439,3.38E-01,0.3588
61,440,3.86E-01,0.4091
62,441,4.35E-01,0.462
63,442,4.90E-01,0.5199
64,443,5.44E-01,0.5773
65,444,6.07E-01,0.6443
66,445,6.69E-01,0.7099
67,446,7.28E-01,0.7722
68,447,7.82E-01,0.8303
69,448,8.29E-01,0.8796
70,449,8.71E-01,0.924
71,450,9.07E-01,0.9627
72,451,9.29E-01,0.9857
73,452,9.40E-01,0.997
74,453,9.35E-01,0.9918
